model,nobs,pseudo_r2,dispersion,status,term,estimate,std.error,statistic,p.value,conf.low,conf.high
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,same_kyoku_diff_ka:D_dest_occ_any,5.480594265476764,1.3629005906263443,4.021272206623715,5.7884667624437745e-5,2.809358193340762,8.151830337612767
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,diff_kyoku:D_dest_occ_any,3.932165199194485,1.3119303031345657,2.997236354552868,0.0027243939763468106,1.3608290548240212,6.503501343564949
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,log_N_o_occ:log_N_d_occ:D_dest_occ_any,0.014262690577120818,0.061715276735281224,0.23110470100131886,0.8172334631005129,-0.10669702911995305,0.13522241027419468
col2_year_occ_pair_fe,4126423,0.5585811465690302,30.888784482302356,estimated,log_N_o_occ,0.8711011790561163,0.050485842685722225,17.254365436242786,1.0375530584316058e-66,0.7721507456629458,0.9700516124492867
col2_year_occ_pair_fe,4126423,0.5585811465690302,30.888784482302356,estimated,log_N_d_occ,-1.348187234530001,0.17119033484052307,-7.87537004227453,3.3973584110600424e-15,-1.6837141253187786,-1.0126603437412234
col2_year_occ_pair_fe,4126423,0.5585811465690302,30.888784482302356,estimated,occ_similarity,-5.812459196618031,0.7635488857648639,-7.612425746382383,2.689987430053494e-14,-7.308987513152852,-4.31593088008321
col2_year_occ_pair_fe,4126423,0.5585811465690302,30.888784482302356,estimated,same_kyoku_diff_ka,-7.438923344060667,0.7648161545788137,-9.72642026390944,2.3263592938290554e-22,-8.93793546182956,-5.939911226291773
col2_year_occ_pair_fe,4126423,0.5585811465690302,30.888784482302356,estimated,diff_kyoku,-8.669702987282912,0.6997449019647061,-12.389805146047633,2.967635885788041e-35,-10.041177793499246,-7.298228181066578
col2_year_occ_pair_fe,4126423,0.5585811465690302,30.888784482302356,estimated,D_dest_occ_any,-7.447331155506825,1.4201330950553184,-5.244107880759395,1.5704029953381383e-7,-10.230740875068646,-4.663921435945005
col2_year_occ_pair_fe,4126423,0.5585811465690302,30.888784482302356,estimated,log_N_o_occ:log_N_d_occ,0.024850487747695865,0.045629371898560755,0.544616038172546,0.5860176218570194,-0.06458143781066722,0.11428241330605896
col2_year_occ_pair_fe,4126423,0.5585811465690302,30.888784482302356,estimated,log_N_o_occ:D_dest_occ_any,-0.044992588310576495,0.08313831247437552,-0.54117755065625,0.5883852094285644,-0.20794068649578956,0.11795550987463659
col2_year_occ_pair_fe,4126423,0.5585811465690302,30.888784482302356,estimated,log_N_d_occ:D_dest_occ_any,1.65933487476779,0.27113891430592363,6.119869879303187,9.365180084107422e-10,1.1279123679208878,2.1907573816146924
col2_year_occ_pair_fe,4126423,0.5585811465690302,30.888784482302356,estimated,occ_similarity:D_dest_occ_any,4.992575003641229,1.1699620272498685,4.2672966193414466,1.9785601024556686e-5,2.699491566952018,7.28565844033044
