model,outcome,variable,coef,se,pval
A_Retention_Sal,left_nondraft,log_salary,-0.26529912378449655,0.08845367043157297,0.0027060041514426203
B_WithinKyoku_NoSal,diffka_draft,lag_decor_rank_ext,-11.762644353159539,1.3136109833243088e-7,0
B_WithinKyoku_NoSal,diffka_draft,lag_court_rank_ext,-0.17541189400424922,0.31549513292217046,0.5782182217080287
B_WithinKyoku_NoSal,diffka_draft,female,0.07648387068786681,0.9182909917242688,0.9336214589224099
B_WithinKyoku_NoSal,diffka_draft,own_tenure,-0.09232177245692519,0.05048978917427859,0.0674710029506258
B_WithinKyoku_NoSal,diffka_draft,log_salary,0.12639526747860735,0.22948706295131982,0.5817893269189831
B_WithinKyoku_NoSal,diffka_nondraft,lag_decor_rank_ext,0.17530554768223783,0.1925753409373508,0.3626527793309522
B_WithinKyoku_NoSal,diffka_nondraft,lag_court_rank_ext,-0.022516823090784475,0.06071819957940769,0.7107556520429545
B_WithinKyoku_NoSal,diffka_nondraft,female,0.9101750256700084,0.24576107198942254,2.126489501823592e-4
B_WithinKyoku_NoSal,diffka_nondraft,own_tenure,0.017798650249672168,0.013418252108331023,0.18469044611505359
B_WithinKyoku_NoSal,diffka_nondraft,log_salary,-0.16687627465484134,0.09407350407398583,0.07608094880665117
C_CrossKyoku_NoSal,diffkyoku_draft,lag_decor_rank_ext,0.7798649922886454,0.3639726437084249,0.032141432243165013
C_CrossKyoku_NoSal,diffkyoku_draft,lag_court_rank_ext,0.10189299366601452,0.12363810145063717,0.4098697159988127
C_CrossKyoku_NoSal,diffkyoku_draft,female,0.07662700079289499,0.5577030936897779,0.8907166212231294
C_CrossKyoku_NoSal,diffkyoku_draft,own_tenure,0.055262157111979716,0.02932012332410884,0.059458739763440516
C_CrossKyoku_NoSal,diffkyoku_draft,log_salary,-0.5822527553581438,0.181748705992024,0.0013571415223028183
C_CrossKyoku_NoSal,diffkyoku_nondraft,lag_decor_rank_ext,0.4124066266711432,0.27574825032502065,0.13476024606265047
C_CrossKyoku_NoSal,diffkyoku_nondraft,lag_court_rank_ext,-0.10009468343320584,0.07563998325580293,0.18573434144704382
C_CrossKyoku_NoSal,diffkyoku_nondraft,female,-0.15216971463127693,0.34125408171459126,0.6556599150389333
C_CrossKyoku_NoSal,diffkyoku_nondraft,own_tenure,0.09348619989241591,0.016493477955180646,1.4441434048606538e-8
C_CrossKyoku_NoSal,diffkyoku_nondraft,log_salary,-0.4779793416898496,0.12873591086936348,2.0492442311659254e-4
C_CrossKyoku_Sal,diffkyoku_draft,lag_decor_rank_ext,0.7798649922886454,0.3639726437084249,0.032141432243165013
C_CrossKyoku_Sal,diffkyoku_draft,lag_court_rank_ext,0.10189299366601452,0.12363810145063717,0.4098697159988127
C_CrossKyoku_Sal,diffkyoku_draft,female,0.07662700079289499,0.5577030936897779,0.8907166212231294
C_CrossKyoku_Sal,diffkyoku_draft,own_tenure,0.055262157111979716,0.02932012332410884,0.059458739763440516
C_CrossKyoku_Sal,diffkyoku_draft,log_salary,-0.5822527553581438,0.181748705992024,0.0013571415223028183
C_CrossKyoku_Sal,diffkyoku_nondraft,lag_decor_rank_ext,0.4124066266711432,0.27574825032502065,0.13476024606265047
C_CrossKyoku_Sal,diffkyoku_nondraft,lag_court_rank_ext,-0.10009468343320584,0.07563998325580293,0.18573434144704382
C_CrossKyoku_Sal,diffkyoku_nondraft,female,-0.15216971463127693,0.34125408171459126,0.6556599150389333
C_CrossKyoku_Sal,diffkyoku_nondraft,own_tenure,0.09348619989241591,0.016493477955180646,1.4441434048606538e-8
C_CrossKyoku_Sal,diffkyoku_nondraft,log_salary,-0.4779793416898496,0.12873591086936348,2.0492442311659254e-4
