model,sample,nobs,pseudo_r2,dispersion,status,term,estimate,std.error,statistic,p.value,conf.low,conf.high
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,log_N_o,1.8770252231456914,0.6915697070883331,2.714151883616183,0.006644569433293361,0.5215735044536443,3.2324769418377386
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,I(I(log_N_o^2)),-0.12095032720204489,0.08814264562246574,-1.3722112190743814,0.1699976938659163,-0.29370673812415476,0.05180608372006497
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,log_N_d,-0.16823835551707414,0.6110969710563345,-0.2753054973030867,0.7830815413643775,-1.3659664098490054,1.0294896988148572
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,I(I(log_N_d^2)),-0.006955398723050549,0.08208233355465083,-0.08473685410539174,0.9324705959822435,-0.16783381625716973,0.15392301881106865
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,occ_similarity_binary,-0.10420121867318756,0.3247411439072895,-0.32087470475541596,0.7483053438217135,-0.7406821650298135,0.5322797276834385
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,D_origin,4.095653714921747,366.87402996756254,0.011163651227326904,0.9910928800553465,-714.9642318845692,723.1555393144126
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,D_destination,7.046242011933824,2.469314375364941,2.8535216423759153,0.004323758267687189,2.2064747697115203,11.886009254156129
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,log_N_o:D_origin,-0.907483058947187,71.47186247652786,-0.01269706745427565,0.9898694781110545,-140.98975942094145,139.1747933030471
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,log_N_d:D_origin,-0.03808869107961826,4.065920534619184,-0.009367790333163917,0.9925256940430608,-8.007146502935058,7.9309691207758215
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,occ_similarity_binary:D_origin,-0.230385926725983,0.9110141906685447,-0.25288950390214565,0.8003536005784884,-2.015940929841236,1.55516907638927
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,same_department:D_origin,5.697955991561242,86.33599525303576,0.06599745534711826,0.9473798513783046,-163.51748527380988,174.91339725693234
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,log_N_o:D_destination,-0.008978356822462867,0.024588021796256358,-0.36515165379550235,0.7149982048239265,-0.05716999399421117,0.03921328034928543
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,log_N_d:D_destination,-1.3369250946706437,0.46915444679701596,-2.849648135700346,0.004376761898098482,-2.2564509135796076,-0.4173992757616797
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,occ_similarity_binary:D_destination,-0.01753341965263515,0.0730679450639196,-0.23996048660321528,0.8103608888478737,-0.16074396040226874,0.12567712109699847
binary_occupational_similarity,full_or_named_subsample,1017,0.5927502296139476,1.9235427025200114,estimated,same_department:D_destination,-0.03909741477568657,0.20855322058822873,-0.18746972434859308,0.8512923593151521,-0.4478542159884521,0.36965938643707896
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,log_N_o,2.0341938882610733,0.8692011329369717,2.3403028495690865,0.019268108352881393,0.33059097238319746,3.737796804138949
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,I(I(log_N_o^2)),-0.14025015663719168,0.10416439588437874,-1.346430855249885,0.17816360566395298,-0.3444086210419462,0.06390830776756284
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,log_N_d,-0.20905750991742697,0.6522232754878535,-0.3205305878743058,0.7485661467138799,-1.4873916397523654,1.0692766199175114
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,I(I(log_N_d^2)),-0.0037329413008444084,0.08718744969679615,-0.0428151220597244,0.965848909383027,-0.17461720261046249,0.16715132000877364
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,occ_similarity,0.1484520568331471,0.5257062429770696,0.28238594997933536,0.7776475870962198,-0.8819132458497718,1.178817359516066
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,D_origin_any,7.0523402229600425,16355.314067715313,4.3119564648905515e-4,0.9996559556616423,-32048.77418834034,32062.878868786258
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,D_destination_any,31.344727942822278,22.25709808482416,1.4083025479496112,0.15904150151745214,-12.278382703808479,74.96783858945304
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,log_N_o:D_origin_any,-2.639098121383629,3115.299692296558,-8.471410079452487e-4,0.9993240793497831,-6108.514296071348,6103.236099828581
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,log_N_d:D_origin_any,1.4332394414424845,299.3202773527817,0.004788313889450446,0.9961794928747345,-585.2237240125495,588.0902028954346
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,log_N_o:D_destination_any,-0.09680295734177424,0.2555289486185433,-0.3788336228247973,0.7048114176841698,-0.597630493641505,0.4040245789579565
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,log_N_d:D_destination_any,-1.899717339445253,0.6649157394851329,-2.857079817235593,0.004275583070650908,-3.2029282415899303,-0.5965064373005755
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,occ_similarity:D_destination_any,-2.666945329374815,0.9278480226050929,-2.874334227589242,0.004048802521891592,-4.485494036807503,-0.8483966219421275
draft_indicator,full_or_named_subsample,1017,0.5977967919549463,1.6681086449054605,estimated,same_department:D_destination_any,-0.317344047624905,1.6362515546992933,-0.1939457577372483,0.8462183543802646,-3.524338164483189,2.8896500692333795
