event_origin_id,event_id,chosen_distance,n_candidates,n_selected,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable_salary,drop_reason_salary
evt_435||8358,evt_435,different_department,24,1,0.6666666666666666,TRUE,FALSE,FALSE,candidate_missing_salary
evt_436||1787,evt_436,different_department,7,2,0.2857142857142857,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_436||2109,evt_436,different_department,10,1,0.2,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_436||8757,evt_436,different_department,8,2,0.5,TRUE,FALSE,FALSE,candidate_missing_salary
evt_438||1787,evt_438,different_department,7,3,0.2857142857142857,TRUE,FALSE,FALSE,candidate_missing_salary
evt_438||2056,evt_438,different_department,61,1,0.5901639344262295,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_438||2109,evt_438,different_department,10,3,0.2,TRUE,FALSE,FALSE,candidate_missing_salary
evt_438||8757,evt_438,different_department,8,4,0.5,TRUE,FALSE,FALSE,candidate_missing_salary
evt_439||2071,evt_439,different_department,36,1,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_43||8946,evt_43,different_department,3,1,1,TRUE,TRUE,TRUE,usable_salary
evt_44||1233,evt_44,same_department,24,8,0.4583333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_44||2221,evt_44,same_department,2,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_453||2071,evt_453,same_department,36,3,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_454||1335,evt_454,different_department,19,1,0.5263157894736842,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_454||1919,evt_454,same_section,15,1,0.5333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_454||2071,evt_454,same_department,36,2,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_454||8164,evt_454,same_department,14,1,0.5,TRUE,FALSE,FALSE,candidate_missing_salary
evt_455||2071,evt_455,same_department,36,2,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_455||8358,evt_455,different_department,18,1,0.5555555555555556,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_459||1555,evt_459,same_section,14,10,0.9285714285714286,TRUE,FALSE,FALSE,candidate_missing_salary
