event_origin_id,event_id,origin_office_id,chosen_distance,n_candidates,n_selected,n_exact_pos,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable,usable_salary,drop_reason,drop_reason_salary
evt_252||6953,evt_252,6953,same_department,71,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_259||6953,evt_259,6953,same_department,71,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_25||1190,evt_25,1190,different_department,70,1,3,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_25||1449,evt_25,1449,different_department,115,1,23,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_25||2056,evt_25,2056,different_department,68,1,4,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_264||1906,evt_264,1906,same_department,23,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_265||1906,evt_265,1906,same_department,23,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_268||1449,evt_268,1449,same_department,115,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_269||1449,evt_269,1449,same_department,115,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_271||2146,evt_271,2146,same_section,27,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_278||2158,evt_278,2158,same_section,11,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_27||1190,evt_27,1190,different_department,70,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_27||6946,evt_27,6946,different_department,11,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_286||2159,evt_286,2159,same_department,11,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_288||8358,evt_288,8358,different_department,61,0,1,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_289||2056,evt_289,2056,different_department,68,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_290||1449,evt_290,1449,different_department,115,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_291||1695,evt_291,1695,different_department,6,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_292||7506,evt_292,7506,different_department,68,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_294||1555,evt_294,1555,different_department,37,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_294||6701,evt_294,6701,same_department,32,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_295||6701,evt_295,6701,same_department,32,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_296||6701,evt_296,6701,same_department,32,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_297||2123,evt_297,2123,same_department,14,1,2,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_298||2123,evt_298,2123,same_department,14,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_29||1190,evt_29,1190,different_department,70,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_302||2003,evt_302,2003,different_department,5,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_302||2071,evt_302,2071,same_department,44,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_302||2143,evt_302,2143,same_section,15,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_302||8321,evt_302,8321,same_department,7,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_303||2071,evt_303,2071,same_department,44,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_304||2071,evt_304,2071,same_department,44,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_304||2143,evt_304,2143,same_section,15,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_30||5884,evt_30,5884,different_department,4,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_311||1317,evt_311,1317,different_department,16,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_315||1896,evt_315,1896,same_department,28,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_316||6184,evt_316,6184,different_department,2,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_316||8514,evt_316,8514,same_department,7,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_317||6650,evt_317,6650,same_department,15,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_318||1752,evt_318,1752,different_department,21,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_318||6328,evt_318,6328,different_department,27,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_318||8757,evt_318,8757,different_department,19,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_322||7782,evt_322,7782,same_department,34,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_333||1478,evt_333,1478,different_department,27,1,6,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_333||2071,evt_333,2071,different_department,44,1,8,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_333||6953,evt_333,6953,same_department,71,0,4,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_333||7506,evt_333,7506,different_department,68,1,8,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_334||6953,evt_334,6953,same_department,71,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_334||7506,evt_334,7506,different_department,68,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_339||1716,evt_339,1716,same_department,15,1,1,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_33||1190,evt_33,1190,different_department,70,4,23,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_33||2056,evt_33,2056,different_department,68,0,26,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_33||7051,evt_33,7051,different_department,17,0,8,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_33||8994,evt_33,8994,same_department,18,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_341||1449,evt_341,1449,same_department,115,4,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_341||1716,evt_341,1716,same_department,15,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_342||1449,evt_342,1449,same_department,115,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_342||1716,evt_342,1716,same_department,15,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_345||1233,evt_345,1233,different_department,24,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_346||7051,evt_346,7051,different_department,17,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_347||1190,evt_347,1190,different_department,70,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_348||1190,evt_348,1190,different_department,70,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_34||1190,evt_34,1190,different_department,70,4,3,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_34||6328,evt_34,6328,different_department,27,1,1,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_34||7051,evt_34,7051,different_department,17,1,2,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_350||2072,evt_350,2072,different_department,7,2,3,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_352||2072,evt_352,2072,different_department,7,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_353||2072,evt_353,2072,different_department,7,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_354||7782,evt_354,7782,different_department,34,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_357||2183,evt_357,2183,different_department,83,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_357||7782,evt_357,7782,different_department,34,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_359||8905,evt_359,8905,same_section,69,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_360||2125,evt_360,2125,same_department,9,4,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_360||8994,evt_360,8994,same_department,18,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_361||2125,evt_361,2125,same_department,9,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_362||2125,evt_362,2125,same_department,9,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_363||1906,evt_363,1906,same_department,23,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_364||1906,evt_364,1906,same_department,23,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_364||7506,evt_364,7506,different_department,68,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_365||1906,evt_365,1906,same_department,23,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_369||1193,evt_369,1193,same_department,23,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_369||7506,evt_369,7506,different_department,68,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_36||2138,evt_36,2138,different_department,21,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_370||8514,evt_370,8514,same_department,7,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_372||8358,evt_372,8358,different_department,61,0,1,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_374||2174,evt_374,2174,same_section,27,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_375||2174,evt_375,2174,same_section,27,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_377||6650,evt_377,6650,same_department,15,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_377||8514,evt_377,8514,same_department,7,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_378||6650,evt_378,6650,same_department,15,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
